Store,Demand,DemandRounded
Countdown Airport,7.1,8
Countdown Auckland City,8.05,9
Countdown Aviemore Drive,7.7,8
Countdown Birkenhead,8,8
Countdown Blockhouse Bay,7.2,8
Countdown Botany Downs,8.2,9
Countdown Browns Bay,8.15,9
Countdown Glenfield,7.05,8
Countdown Greenlane,8.35,9
Countdown Grey Lynn,8.6,9
Countdown Grey Lynn Central,8.3,9
Countdown Hauraki Corner,7.3,8
Countdown Henderson,7.9,8
Countdown Highland Park,7.65,8
Countdown Hobsonville,8.6,9
Countdown Howick,8.95,9
Countdown Kelston,8.15,9
Countdown Lincoln Road,8.4,9
Countdown Lynfield,8.15,9
Countdown Lynmall,6.95,7
Countdown Mairangi Bay,8.7,9
Countdown Mangere East,7.95,8
Countdown Mangere Mall,7.15,8
Countdown Manukau,7.55,8
Countdown Manukau Mall,8.35,9
Countdown Manurewa,8.05,9
Countdown Meadowbank,8,8
Countdown Meadowlands,8.15,9
Countdown Metro Albert Street,4.25,5
Countdown Metro Halsey Street,3.85,4
Countdown Milford,8.25,9
Countdown Mt Eden,7.65,8
Countdown Mt Roskill,8,8
Countdown Mt Wellington,8.55,9
Countdown Newmarket,7.5,8
Countdown Northcote,7.45,8
Countdown Northwest,7.9,8
Countdown Onehunga,7.7,8
Countdown Pakuranga,7.55,8
Countdown Papakura,0,0
Countdown Papatoetoe,8.75,9
Countdown Ponsonby,8.65,9
Countdown Pt Chevalier,8.2,9
Countdown Roselands,13.95,14
Countdown St Johns,7.2,8
Countdown St Lukes,7.05,8
Countdown Sunnynook,8.5,9
Countdown Sylvia Park,8.2,9
Countdown Takanini,8,8
Countdown Takapuna,7.7,8
Countdown Te Atatu,7.6,8
Countdown Te Atatu South,7.9,8
Countdown Three Kings,9.05,10
Countdown Victoria Street West,9.4,10
Countdown Westgate,8.15,9
FreshChoice Glen Eden,4.1,5
FreshChoice Half Moon Bay,4.6,5
FreshChoice Mangere Bridge,4.6,5
FreshChoice Otahuhu,3.75,4
FreshChoice Ranui,4.75,5
SuperValue Avondale,4.45,5
SuperValue Flatbush,4.65,5
SuperValue Palomino,4.85,5
SuperValue Papakura,4.75,5
SuperValue Titirangi,4.35,5
