Store,Demand,DemandRounded
Countdown Airport,4.75,5
Countdown Auckland City,3.5,4
Countdown Aviemore Drive,4,4
Countdown Birkenhead,4.25,5
Countdown Blockhouse Bay,2.25,3
Countdown Botany Downs,3.5,4
Countdown Browns Bay,4.25,5
Countdown Glenfield,4.5,5
Countdown Greenlane,3.5,4
Countdown Grey Lynn,3,3
Countdown Grey Lynn Central,5.5,6
Countdown Hauraki Corner,4.25,5
Countdown Henderson,4.25,5
Countdown Highland Park,2.75,3
Countdown Hobsonville,6,6
Countdown Howick,4,4
Countdown Kelston,4,4
Countdown Lincoln Road,4.5,5
Countdown Lynfield,3.5,4
Countdown Lynmall,4,4
Countdown Mairangi Bay,3.5,4
Countdown Mangere East,3.5,4
Countdown Mangere Mall,3.75,4
Countdown Manukau,6,6
Countdown Manukau Mall,3.75,4
Countdown Manurewa,3.5,4
Countdown Meadowbank,4.25,5
Countdown Meadowlands,3,3
Countdown Milford,3.5,4
Countdown Mt Eden,4.75,5
Countdown Mt Roskill,4.25,5
Countdown Mt Wellington,3.75,4
Countdown Newmarket,3.25,4
Countdown Northcote,4.5,5
Countdown Northwest,3.25,4
Countdown Onehunga,3.75,4
Countdown Pakuranga,3.25,4
Countdown Papakura,4.5,5
Countdown Papatoetoe,2.75,3
Countdown Ponsonby,3.25,4
Countdown Pt Chevalier,4.5,5
Countdown Roselands,4.75,5
Countdown St Johns,3.5,4
Countdown St Lukes,3,3
Countdown Sunnynook,3.25,4
Countdown Sylvia Park,3.5,4
Countdown Takanini,4.5,5
Countdown Takapuna,2.5,3
Countdown Te Atatu,3.75,4
Countdown Te Atatu South,3.5,4
Countdown Three Kings,4,4
Countdown Victoria Street West,4,4
Countdown Westgate,5.5,6
Countdown Metro Albert Street,0,0
Countdown Metro Halsey Street,0,0
FreshChoice Glen Eden,0,0
FreshChoice Half Moon Bay,0,0
FreshChoice Mangere Bridge,0,0
FreshChoice Otahuhu,0,0
FreshChoice Ranui,0,0
SuperValue Avondale,0,0
SuperValue Flatbush,0,0
SuperValue Palomino,0,0
SuperValue Papakura,0,0
SuperValue Titirangi,0,0
